"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"470","ATP2B4",4.20467882032687e-18,-0.49827228320952,0.25,0.442,6.85152413772264e-14
"471","TIMMDC1",4.38486616827691e-18,-0.441470321716774,0.182,0.362,7.14513942120722e-14
"472","LINC02416",5.3547410482342e-18,-0.349894727515978,0.032,0.145,8.72555053809763e-14
"473","LY6E",5.82503639846362e-18,-0.662018453425113,0.483,0.644,9.49189681129647e-14
"474","IL18RAP",6.29531231469082e-18,-0.438708251918218,0.093,0.239,1.02582114167887e-13
"475","PRMT1",7.04362713853509e-18,0.512565522924935,0.684,0.529,1.14775904222429e-13
"476","IMPDH2",9.02464890572573e-18,0.51029251291282,0.477,0.27,1.47056653918801e-13
"477","SNHG8",9.34524602567045e-18,0.598207595746015,0.445,0.259,1.522807839883e-13
"478","CAMTA2",1.02206329526008e-17,-0.551445472007066,0.138,0.296,1.66545213962631e-13
"479","MATK",1.02393437507864e-17,0.361052585790191,0.128,0.014,1.66850106419065e-13
"480","ASB2",1.10658075320681e-17,-0.396582481661604,0.016,0.111,1.80317333735049e-13
"481","CASP3",1.19567853778864e-17,-0.429418388794502,0.125,0.282,1.94835817732659e-13
"482","CLTA",1.36246137199199e-17,-0.464607638972606,0.5,0.666,2.22013080566096e-13
"483","CSRNP1",1.36411494136193e-17,0.624742454763538,0.621,0.439,2.22282529694926e-13
"484","TOMM20",1.36768162399515e-17,0.470568100885048,0.661,0.473,2.2286372063001e-13
"485","SIRPG",1.39742411200897e-17,-0.387457634004757,0.032,0.142,2.27710259051861e-13
"486","KIAA1324",1.65939244315903e-17,-0.306432564679956,0.016,0.11,2.70397998612763e-13
"487","TRAF1",1.66788413785038e-17,0.604338266241537,0.722,0.595,2.7178172026272e-13
"488","MAP3K8",1.6761601474713e-17,0.727337166016088,0.406,0.223,2.73130296030449e-13
"489","GPR18",1.94444183287074e-17,-0.40421406591548,0.136,0.306,3.16846796666288e-13
"490","ATP6V1B2",2.27759321203852e-17,-0.527678551349229,0.326,0.51,3.71133813901678e-13
"491","MPP6",2.38745607842231e-17,0.342570728911286,0.123,0.013,3.89035967978915e-13
"492","PSTPIP1",3.17774947468822e-17,-0.454296730738965,0.1,0.25,5.17814276900446e-13
"493","ELOB",3.41352340088163e-17,-0.380778304834015,0.727,0.841,5.56233638173661e-13
"494","TES",3.42611432388312e-17,0.467305553360335,0.208,0.064,5.58285329076754e-13
"495","ITGB1",4.04168410062073e-17,-0.521514794921215,0.266,0.439,6.58592424196147e-13
"496","COX8A",4.17070237535124e-17,-0.389635098238161,0.73,0.811,6.79615952063484e-13
"497","ATP5MC3",4.91663224771863e-17,-0.38545374827978,0.732,0.828,8.01165224765751e-13
